epoch,running_loss
0,0.7062314748764038
100,0.6853740811347961
200,0.6728149116039276
300,0.6650902771949768
400,0.6560771214962006
500,0.6512076193094254
600,0.6500144124031066
700,0.6485561907291413
800,0.6387811946868897
900,0.6223412975668907
1000,0.6296542459726333
1100,0.6327792245149613
1200,0.6146113750338554
1300,0.6276594761013985
1400,0.6102578005194664
1500,0.608600545823574
1600,0.5998792517185211
1700,0.6092440120875835
1800,0.5993436954915523
1900,0.5912160232663155
2000,0.5853910250216723
2100,0.5710939385741949
2200,0.5678706086426973
2300,0.5946979277580976
2400,0.5765183314681053
2500,0.5911237439513206
2600,0.5893235240131617
2700,0.5813897378742695
2800,0.5470312415808439
2900,0.5729369372874499
3000,0.5478993850946426
3100,0.5471484972536564
3200,0.5282987689971924
3300,0.538171522822231
3400,0.536834256015718
3500,0.5382828263193369
3600,0.5356072107329964
3700,0.5290565145201981
3800,0.5299300694838166
3900,0.5296517127007246
4000,0.49642003843560817
4100,0.5132235445920378
4200,0.5063602669723332
4300,0.4366700015962124
4400,0.3276112348865718
4500,0.34315962857566773
4600,0.221874525481835
4700,0.15649982965551318
4800,0.1755084188003093
4900,0.15623582248575985
5000,0.06891935613006353
5100,0.04556158160790801
5200,0.032310464256443086
5300,0.01439379261340946
5400,0.009067984568537213
5500,0.0040802077209809795
5600,0.002191914869908942
5700,0.0012818807718576863
5800,0.0008091105280618649
5900,0.0004256613537290832
6000,0.00027386224799556656
6100,0.00015049606048705755
6200,0.00011051653946196894
6300,7.171619834480225e-05
6400,4.846476265356614e-05
6500,3.131956639663258e-05
6600,2.1739188696301426e-05
6700,1.328876143134039e-05
6800,9.014417546495679e-06
6900,8.091485967725021e-06
7000,7.851091147585976e-06
7100,4.426086068178847e-06
7200,3.419473441397258e-06
7300,1.9163556042656184e-06
7400,1.2092513190964382e-06
7500,1.4916968012812503e-06
7600,8.87965976801297e-07
7700,5.835755185046309e-07
7800,3.8647695987492626e-07
7900,2.322505894269966e-07
8000,2.427083116884887e-07
8100,2.710334523570168e-07
8200,1.7627640767514662e-07
8300,2.0137324483471274e-07
8400,8.693914657520452e-08
8500,7.215880226674187e-08
8600,8.150840523857283e-08
8700,5.0591710962777367e-08
8800,5.875459268445127e-08
8900,1.7771913476849477e-07
9000,2.9207005086906434e-07
9100,3.5783786966891996e-08
9200,3.402423513820807e-08
9300,1.8468666745929951e-07
9400,2.6594261978152288e-08
9500,1.748912731303065e-08
9600,1.564221472472038e-07
9700,3.697524901147275e-08
9800,3.1643875579301376e-08
9900,1.4359736817404212e-08
10000,1.0272810107014863e-08
10100,1.4050358108363969e-08
10200,1.0342321806189325e-08
10300,7.53732992297973e-09
10400,9.763511088986542e-09
10500,1.0352851816941566e-08
10600,7.079921095914931e-09
10700,7.111413421467816e-09
10800,5.215565383603904e-09
10900,4.384012497887779e-09
11000,4.41026497710606e-09
11100,4.655937658470944e-09
11200,5.3430307020430055e-09
11300,5.074203242166897e-09
11400,3.994391333805858e-09
11500,3.3440666609430012e-09
11600,3.5897895746261898e-09
11700,3.4487892339174485e-09
11800,2.715884961368431e-09
11900,3.2318775403106237e-09
12000,2.699270102365925e-09
12100,2.9104285583642086e-09
12200,2.9307750867846314e-09
12300,3.112981750708066e-09
12400,2.9673889966053133e-09
12500,2.621698381513604e-09
12600,2.801250969519664e-09
12700,2.731828157298555e-09
12800,2.081687104360519e-09
12900,2.641681058068723e-09
13000,2.3954869154962922e-09
13100,2.147477084282756e-09
13200,4.0271510229339394e-09
13300,2.0804276189972935e-09
13400,1.899342656694336e-09
13500,1.9175131405965716e-09
13600,2.760579513386152e-09
13700,2.1445214412607603e-09
13800,1.8294494745496603e-09
13900,1.553230785378279e-09
14000,2.1767595038968413e-09
14100,1.826459590167917e-09
14200,1.7377708513843793e-09
14300,1.6746047512561369e-09
14400,1.4192048063133012e-09
14500,2.760036155041723e-09
14600,1.6324962352765037e-09
14700,1.3320798140925571e-09
14800,1.3740538259976454e-09
14900,1.3358409238495294e-09
15000,1.3439927423752885e-09
15100,1.5356464950350145e-09
15200,1.3008004239034588e-09
15300,1.4042907887229505e-09
15400,1.184313759561295e-09
15500,1.5665531445663295e-09
15600,1.1895038148912462e-09
15700,1.1826830628378082e-09
15800,1.2774532934245463e-09
15900,5.734251654967992e-09
16000,1.3600400745189533e-09
16100,1.3558910966215976e-09
16200,1.3332499416290889e-09
16300,1.162483756825261e-09
16400,1.3548797447859862e-09
16500,1.18628215590999e-09
16600,1.1621092517455356e-09
16700,1.1826574627948894e-09
16800,1.3628601241988392e-09
16900,1.3732881515293727e-09
17000,1.1266941022172738e-09
17100,8.767441450618918e-10
17200,1.2377896405069144e-09
17300,1.4697441919585275e-09
17400,1.1597503547788879e-09
17500,1.0360502453177212e-09
17600,9.7689813044477e-10
17700,1.0515871674832144e-09
17800,9.156035747637236e-10
17900,9.618200748004457e-10
18000,1.1563665180958083e-09
18100,8.066030782183375e-10
18200,9.786526846203293e-10
18300,8.375930444365353e-10
18400,8.39604712751102e-10
18500,7.880554428463249e-10
18600,7.781845912102625e-10
18700,7.27122401161101e-10
18800,7.57555178032554e-10
18900,7.974131529739359e-10
19000,9.297952270961863e-10
19100,8.661525501690859e-10
19200,7.465911370033163e-10
19300,8.677965822323497e-10
19400,1.0961363504716216e-09
19500,8.328391653406042e-10
19600,8.074492652276888e-10
19700,6.783397790005585e-10
19800,7.831357063878274e-10
19900,7.550697000979767e-10
20000,7.257298192259176e-10
20100,7.096183867252859e-10
20200,6.532545080567554e-10
20300,8.003607552056757e-10
20400,6.834369431496512e-10
20500,9.305787691121781e-10
20600,8.167944709133734e-10
20700,9.704497660328882e-10
20800,9.907277686432848e-10
20900,8.892195191637087e-10
21000,7.49817678693393e-10
21100,7.289871783999757e-10
21200,8.062352086640745e-10
21300,1.1446807051188056e-09
21400,7.703192405825177e-10
21500,7.40105957526549e-10
21600,6.304771010476329e-10
21700,6.191731485860608e-10
21800,5.31942371921612e-10
21900,6.678405595553216e-10
22000,6.15358047573178e-10
22100,6.917514664556146e-10
22200,6.497596328342014e-10
22300,6.708466550320313e-10
22400,5.531526120136632e-10
22500,6.376283111231285e-10
22600,5.748791181460489e-10
22700,4.780143669433356e-10
22800,5.209779768006184e-10
22900,5.709144555374191e-10
23000,5.78118488376439e-10
23100,6.104891822752632e-10
23200,5.659852610542804e-10
23300,5.280621399698926e-10
23400,5.233342758453885e-10
23500,5.858204673442335e-10
23600,4.410503611808336e-10
23700,5.696175078492849e-10
23800,7.50786070848053e-10
23900,6.817267796804804e-10
24000,5.683613819341959e-10
24100,7.437805003840392e-10
24200,7.197813852583001e-10
24300,6.084256964911106e-10
24400,5.385841695196292e-10
24500,4.500798598747191e-10
24600,4.774116612107915e-10
24700,4.685551779903818e-10
24800,5.673630080332837e-10
24900,4.752203305521951e-10
25000,4.291703453382367e-10
25100,5.457855219159757e-10
25200,6.176952473645192e-10
25300,5.127322955447711e-10
25400,5.946006375982804e-10
25500,5.133575825891356e-10
25600,4.529810469430795e-10
25700,4.4497549114147494e-10
25800,3.638463138416759e-10
25900,4.2335148615901817e-10
26000,4.661170932909742e-10
26100,4.0530910525374273e-10
26200,5.534265965639884e-10
26300,5.015968057575648e-10
26400,4.971767098363444e-10
26500,5.865854756786915e-10
26600,5.088703407957196e-10
26700,4.363458966892553e-10
26800,4.435747248850153e-10
26900,3.9952874050785957e-10
27000,4.873428143502278e-10
27100,4.607113687511016e-10
27200,4.628645093075756e-10
27300,4.1870476516492336e-10
27400,4.362648657607604e-10
27500,3.7346577621243104e-10
27600,4.69814406857394e-10
27700,3.9189220809449087e-10
27800,4.144392009089448e-10
27900,5.588959880661881e-10
28000,4.531136021078408e-10
28100,5.054461745847283e-10
28200,4.004213888936237e-10
28300,3.83254502404895e-10
28400,4.1971348486991024e-10
28500,4.3365882346907415e-10
28600,4.2020512670132294e-10
28700,3.5170319621913306e-10
28800,3.674107638441948e-10
28900,3.6837593121730183e-10
29000,3.2347113983893784e-10
29100,3.8585420402206803e-10
29200,4.174259532821467e-10
29300,4.1642425684801364e-10
29400,3.831201606484258e-10
29500,4.032865460329438e-10
29600,5.648798657997833e-10
29700,4.4383106596185275e-10
29800,4.2157214021759647e-10
29900,6.575373800651873e-10
30000,4.669126542865276e-10
30100,3.816824191340412e-10
30200,3.375708795827492e-10
30300,6.750030501212478e-10
30400,3.913457237436635e-10
30500,3.435732546380743e-10
30600,3.110496843081179e-10
30700,3.6386444660259365e-10
30800,3.595633019104483e-10
30900,2.9902716937139915e-10
31000,3.54251122533511e-10
31100,8.676203676338811e-10
31200,3.198634576477566e-10
31300,3.6312215900835555e-10
31400,3.6048838344959755e-10
31500,2.974009203834949e-10
31600,3.573169448864433e-10
31700,3.935817064273928e-10
31800,3.6644991603662636e-10
31900,3.522024212554431e-10
32000,3.805853392505054e-10
32100,3.751031024158691e-10
32200,3.767100757723352e-10
32300,3.622128085314924e-10
32400,3.7931067771099224e-10
32500,3.5310178972576544e-10
32600,2.781018049700934e-10
32700,3.216115741777603e-10
32800,3.434471952407786e-10
32900,3.9909162528536937e-10
33000,3.391265508169428e-10
33100,3.492964522483488e-10
33200,2.706375371377967e-10
33300,3.99674001012873e-10
33400,2.917680309855175e-10
33500,2.7059297344911996e-10
33600,2.862665767801309e-10
33700,2.79438968596446e-10
33800,3.0618567260602694e-10
33900,3.295174324374761e-10
34000,2.555292354100569e-10
34100,3.4961082421430813e-10
34200,3.486974252744912e-10
34300,2.954146863503454e-10
34400,3.33532059956787e-10
34500,2.5715653039284913e-10
34600,2.9600661111475744e-10
34700,2.885078879445724e-10
34800,3.2846110497274097e-10
34900,3.2779033955036843e-10
35000,2.7220730086652267e-10
35100,2.9457948465955176e-10
35200,3.6245537265999774e-10
35300,2.8585145645486363e-10
35400,3.3291812410150835e-10
35500,3.228746827538265e-10
35600,2.3709325548855466e-10
35700,3.436517942607964e-10
35800,3.009134303191829e-10
35900,2.751033136884351e-10
36000,2.475737912940867e-10
36100,2.841951539248391e-10
36200,2.5758838983688805e-10
36300,2.7223609260981774e-10
36400,2.7005942444119356e-10
36500,2.1548941108937014e-10
36600,2.921433896012349e-10
36700,3.219763059642e-10
36800,3.0146765292449196e-10
36900,3.35775181365891e-10
37000,2.918430411008241e-10
37100,2.5366524235726633e-10
37200,2.9238055480190763e-10
37300,2.979300892623493e-10
37400,2.384072016799882e-10
37500,2.5732238069509083e-10
37600,2.6370157120425564e-10
37700,3.13942975496348e-10
37800,3.818333893339243e-10
37900,2.768194132772572e-10
38000,3.0870637649036553e-10
38100,2.59212918300028e-10
38200,2.816057052129617e-10
38300,2.1857919802262261e-10
38400,2.2858430082789426e-10
38500,2.39450749228709e-10
38600,2.5144015100911357e-10
38700,4.1333571185533934e-10
38800,3.19965913608139e-10
38900,2.9036767275336664e-10
39000,3.200443967482647e-10
39100,2.141181245762097e-10
39200,2.3026311286519773e-10
39300,3.0336293256084943e-10
39400,2.4595950702359373e-10
39500,2.4878486670071307e-10
39600,2.497486308690108e-10
39700,2.2179536715918878e-10
39800,2.8964750892895853e-10
39900,2.3004802018086572e-10
40000,2.200233260168938e-10
40100,2.4551619870819e-10
40200,2.0927536366170674e-10
40300,2.5256673226795036e-10
40400,2.416042197729562e-10
40500,2.631331698192685e-10
40600,2.2103456818328703e-10
40700,3.2997097782448694e-10
40800,2.35523163142487e-10
40900,2.496380752201738e-10
41000,2.537561298501106e-10
41100,1.9082740373987938e-10
41200,2.4664119174962195e-10
41300,2.7504716350844336e-10
41400,2.38265251547784e-10
41500,2.2194726630349327e-10
41600,2.3123626640211837e-10
41700,2.120548711712772e-10
41800,2.4797843032470235e-10
41900,2.181777000731522e-10
42000,2.056785252529947e-10
42100,2.2827140840758763e-10
42200,2.52739376857547e-10
42300,1.892108507763404e-10
42400,2.921848418595274e-10
42500,2.3184316116225955e-10
42600,2.1738104014762393e-10
42700,1.908926632737673e-10
42800,2.4610066253968886e-10
42900,2.367430685171201e-10
43000,2.3193220014677829e-10
43100,2.3038001974000356e-10
43200,1.5744369316963991e-10
43300,2.542056620064015e-10
43400,3.131438353239091e-10
43500,2.4868360272520957e-10
43600,1.8174521551790613e-10
43700,2.6293421270112694e-10
43800,1.9132472511666775e-10
43900,3.040041954109618e-10
44000,2.570995428661724e-10
44100,2.091694222862428e-10
44200,1.9970476088787548e-10
44300,2.7362027575986157e-10
44400,2.2721886607478258e-10
44500,1.904977082155257e-10
44600,1.1139640943968326e-09
44700,2.584597639512451e-10
44800,3.3502740013659216e-10
44900,2.573446721779865e-10
45000,2.2043097988415362e-10
45100,2.271176712843881e-10
45200,2.824143779944777e-10
45300,2.854217763179068e-10
45400,2.479603460406321e-10
45500,2.4587876451889755e-10
45600,2.2575593067696021e-10
45700,1.9329189732304742e-10
45800,2.1511709771566273e-10
45900,1.8808795719700567e-10
46000,1.5263360586287994e-10
46100,2.4571317831963146e-10
